"","Name","Reviews","Ratings","City","State","Country","isClosed","isClaimed"
"1","MingHin Cuisine",906,4,"Chicago","IL","US",FALSE,TRUE
"2","Chi Cafe",571,4,"Chicago","IL","US",FALSE,TRUE
"3","Lao Sze Chuan-Downtown",119,3.5,"Chicago","IL","US",FALSE,TRUE
"4","Shanghai Terrace at The Peninsula Chicago",147,4,"Chicago","IL","US",FALSE,TRUE
"5","Chengdu Impression",108,4,"Chicago","IL","US",FALSE,TRUE
"6","Lao Sze Chuan",971,3.5,"Chicago","IL","US",FALSE,TRUE
"7","Home Style Taste Chinese",52,4,"Chicago","IL","US",FALSE,FALSE
"8","Yummy Yummy Asian Cuisine",388,4,"Chicago","IL","US",FALSE,TRUE
"9","Yum Cha Dim Sum Parlor",206,3.5,"Chicago","IL","US",FALSE,TRUE
"10","Fat Rice",332,4,"Chicago","IL","US",FALSE,TRUE
"11","Lao Hunan",116,3.5,"Chicago","IL","US",FALSE,TRUE
"12","Han 202",219,4,"Chicago","IL","US",FALSE,FALSE
"13","Sun Wah Bar-B-Que",942,4,"Chicago","IL","US",FALSE,FALSE
"14","Go 4 Food",445,4,"Chicago","IL","US",FALSE,TRUE
"15","Yan Bang Cai",49,4,"Chicago","IL","US",FALSE,TRUE
"16","Cheng's Chopsticks",60,4,"Chicago","IL","US",FALSE,FALSE
"17","Wow Bao",451,3.5,"Chicago","IL","US",FALSE,TRUE
"18","Take Me Out",165,4,"Chicago","IL","US",FALSE,TRUE
"19","MAK Restaurant",119,4,"Chicago","IL","US",FALSE,TRUE
"20","Wow Bao",388,3.5,"Chicago","IL","US",FALSE,TRUE
